uri_variable_id,variable_name,port_id
1,CurrentRunDir,1
2,CurrentRunDir,2
3,CurrentRunDir,3
4,CurrentRunDir,4
5,CurrentRunDir,5
6,CurrentRunDir,10
7,CurrentRunDir,11
8,CurrentRunDir,12
9,CurrentRunDir,14
10,CurrentRunDir,15
11,CurrentRunDir,16
12,CurrentRunDir,17
13,CurrentRunDir,18
14,CurrentRunDir,19
15,CurrentRunDir,21
16,CurrentRunDir,26
17,CurrentRunDir,27
18,CurrentRunDir,31
19,CurrentRunDir,36
20,CurrentRunDir,43
21,CurrentRunDir,48
22,CurrentRunDir,60
23,CurrentRunDir,64
24,CurrentRunDir,70
25,CurrentRunDir,73
