program_id,program_name,qualified_program_name,begin_annotation_id,end_annotation_id
1,clean_name_workflow,clean_name_workflow,1,210
2,create_RunID_directory,clean_name_workflow.create_RunID_directory,15,21
3,copy_file,clean_name_workflow.copy_file,22,33
4,clean_scientific_name,clean_name_workflow.clean_scientific_name,34,209
5,initialize_run,clean_name_workflow.clean_scientific_name.initialize_run,51,57
6,read_scientific_name,clean_name_workflow.clean_scientific_name.read_scientific_name,58,65
7,read_data_records,clean_name_workflow.clean_scientific_name.read_data_records,66,84
8,check_if_name_is_nonempty,clean_name_workflow.clean_scientific_name.check_if_name_is_nonempty,85,97
9,log_name_is_empty,clean_name_workflow.clean_scientific_name.log_name_is_empty,98,111
10,find_name_match,clean_name_workflow.clean_scientific_name.find_name_match,112,131
11,log_match_not_found,clean_name_workflow.clean_scientific_name.log_match_not_found,132,144
12,update_scientific_name,clean_name_workflow.clean_scientific_name.update_scientific_name,145,152
13,update_authorship,clean_name_workflow.clean_scientific_name.update_authorship,153,161
14,log_updated_record,clean_name_workflow.clean_scientific_name.log_updated_record,162,172
15,log_accepted_record,clean_name_workflow.clean_scientific_name.log_accepted_record,173,183
16,write_data_into_file,clean_name_workflow.clean_scientific_name.write_data_into_file,184,197
17,log_summary,clean_name_workflow.clean_scientific_name.log_summary,198,208
18,exactmatch,exactmatch,211,216
19,fuzzymatch,fuzzymatch,217,221
20,fieldmatch,fieldmatch,222,227
21,timestamp,timestamp,228,231
