port_id,port_type,port_name,qualified_port_name,port_annotation_id,data_id
1,in,output1_data,clean_event_date_workflow<-output1_data,3,1
2,param,record_id_data,clean_event_date_workflow<-record_id_data,6,2
3,out,output2_data,clean_event_date_workflow->output2_data,8,3
4,out,date_val_log,clean_event_date_workflow->date_val_log,11,4
5,param,RunIDList,clean_event_date_workflow.create_RunID_directory<-RunIDList,16,5
6,out,CurrentRunDir,clean_event_date_workflow.create_RunID_directory->CurrentRunDir,18,6
7,param,filename,clean_event_date_workflow.copy_file<-filename,23,7
8,param,CurrentRunDir,clean_event_date_workflow.copy_file<-CurrentRunDir,25,6
9,out,record_id_data,clean_event_date_workflow.copy_file->record_id_data,27,8
10,out,output1_data,clean_event_date_workflow.copy_file->output1_data,29,9
11,param,CurrentRunDir,clean_event_date_workflow.clean_event_date<-CurrentRunDir,35,6
12,in,input2_data,clean_event_date_workflow.clean_event_date<-input2_data,37,9
13,param,record_id_data,clean_event_date_workflow.clean_event_date<-record_id_data,40,8
14,out,output2_data,clean_event_date_workflow.clean_event_date->output2_data,42,10
15,out,date_val_log,clean_event_date_workflow.clean_event_date->date_val_log,45,11
16,out,date_val_log,clean_event_date_workflow.clean_event_date.initialize_run->date_val_log,50,12
17,in,input2_data,clean_event_date_workflow.clean_event_date.read_data_records<-input2_data,57,13
18,in,record_id_data,clean_event_date_workflow.clean_event_date.read_data_records<-record_id_data,60,14
19,out,original2_eventDate,clean_event_date_workflow.clean_event_date.read_data_records->original2_eventDate,62,15
20,out,RecordID,clean_event_date_workflow.clean_event_date.read_data_records->RecordID,64,16
21,out,original2_others,clean_event_date_workflow.clean_event_date.read_data_records->original2_others,65,17
22,out,date_val_log,clean_event_date_workflow.clean_event_date.read_data_records->date_val_log,67,12
23,in,original2_eventDate,clean_event_date_workflow.clean_event_date.check_if_date_is_nonempty<-original2_eventDate,74,15
24,out,original2_eventDate,clean_event_date_workflow.clean_event_date.check_if_date_is_nonempty->original2_eventDate,76,18
25,out,original2_eventDate,clean_event_date_workflow.clean_event_date.check_if_date_is_nonempty->original2_eventDate,78,19
26,out,date_val_log,clean_event_date_workflow.clean_event_date.check_if_date_is_nonempty->date_val_log,80,12
27,param,RecordID,clean_event_date_workflow.clean_event_date.log_date_is_empty<-RecordID,87,16
28,in,original2_eventDate,clean_event_date_workflow.clean_event_date.log_date_is_empty<-original2_eventDate,88,18
29,out,rejected2_record_count,clean_event_date_workflow.clean_event_date.log_date_is_empty->rejected2_record_count,90,20
30,out,date_val_log,clean_event_date_workflow.clean_event_date.log_date_is_empty->date_val_log,92,12
31,in,original2_eventDate,clean_event_date_workflow.clean_event_date.check_ISO_date_compliant<-original2_eventDate,99,19
32,out,original2_eventDate,clean_event_date_workflow.clean_event_date.check_ISO_date_compliant->original2_eventDate,101,21
33,out,original2_eventDate,clean_event_date_workflow.clean_event_date.check_ISO_date_compliant->original2_eventDate,103,22
34,out,date_val_log,clean_event_date_workflow.clean_event_date.check_ISO_date_compliant->date_val_log,105,12
35,in,original2_eventDate,clean_event_date_workflow.clean_event_date.update_event_date<-original2_eventDate,113,22
36,out,updated2_eventDate,clean_event_date_workflow.clean_event_date.update_event_date->updated2_eventDate,115,23
37,out,date_val_log,clean_event_date_workflow.clean_event_date.update_event_date->date_val_log,117,12
38,param,RecordID,clean_event_date_workflow.clean_event_date.log_accepted_record<-RecordID,124,16
39,in,updated2_eventDate,clean_event_date_workflow.clean_event_date.log_accepted_record<-updated2_eventDate,125,23
40,in,original2_eventDate,clean_event_date_workflow.clean_event_date.log_accepted_record<-original2_eventDate,127,21
41,out,accepted2_record_count,clean_event_date_workflow.clean_event_date.log_accepted_record->accepted2_record_count,129,24
42,out,date_val_log,clean_event_date_workflow.clean_event_date.log_accepted_record->date_val_log,131,12
43,in,original2_others,clean_event_date_workflow.clean_event_date.write_data_into_file<-original2_others,138,17
44,in,updated2_eventDate,clean_event_date_workflow.clean_event_date.write_data_into_file<-updated2_eventDate,140,23
45,in,original2_eventDate,clean_event_date_workflow.clean_event_date.write_data_into_file<-original2_eventDate,142,15
46,out,output2_data,clean_event_date_workflow.clean_event_date.write_data_into_file->output2_data,144,25
47,in,accepted2_record_count,clean_event_date_workflow.clean_event_date.log_summary<-accepted2_record_count,150,24
48,in,rejected2_record_count,clean_event_date_workflow.clean_event_date.log_summary<-rejected2_record_count,152,20
49,out,date_val_log,clean_event_date_workflow.clean_event_date.log_summary->date_val_log,154,12
50,param,message,timestamp<-message,163,26
