port_id,alias
1,data_with_cleaned_names
3,data_with_cleaned_names_and_dates
4,date_cleaning_log
5,existing_RunID_structure
6,newly_created_RunID_directory
7,source_file_to_be_copied
8,newly_created_RunID_directory
10,data_with_cleaned_names
11,newly_created_RunID_directory
12,data_with_cleaned_names
14,data_with_cleaned_names_and_dates
15,date_cleaning_log
16,date_cleaning_log
17,data_with_cleaned_names
19,eventDate
21,other_fields
22,date_cleaning_log
23,eventDate
24,empty_eventDate
25,nonEmpty_eventDate
26,date_cleaning_log
28,empty_eventDate
29,unable-to-validate_record_count
30,date_cleaning_log
31,nonEmpty_eventDate
32,compliant_eventDate
33,nonCompliant_eventDate
34,date_cleaning_log
35,nonCompliant_eventDate
36,updated_eventDate
37,date_cleaning_log
39,updated_eventDate
40,compliant_eventDate
41,accepted_record_count
42,date_cleaning_log
43,other_fields
44,updated_eventDate
45,eventDate
46,data_with_cleaned_names_and_dates
47,accepted_record_count
48,unable-to-validate_record_count
49,date_cleaning_log
