resource_id,log_entry_id,log_variable_id,log_variable_value
1,1,1,"2016-11-04-14:36:52 "
1,1,2,'../Run_2/demo_output_name_val.csv'
1,2,3,"2016-11-04-14:36:52 "
1,2,4,'14727511'
1,3,3,"2016-11-04-14:36:52 "
1,3,4,'14388799'
1,4,3,"2016-11-04-14:36:52 "
1,4,4,'23851999'
1,5,3,"2016-11-04-14:36:52 "
1,5,4,'61671061'
1,6,3,"2016-11-04-14:36:52 "
1,6,4,'10376353'
1,7,3,"2016-11-04-14:36:52 "
1,7,4,'45893459'
1,8,3,"2016-11-04-14:36:52 "
1,8,4,'14995906'
1,9,3,"2016-11-04-14:36:52 "
1,9,4,'25833465'
1,10,3,"2016-11-04-14:36:52 "
1,10,4,'24610226'
1,11,3,"2016-11-04-14:36:52 "
1,11,4,'55410692'
1,12,5,"2016-11-04-14:36:52 "
1,12,6,eventDate
1,12,7,'NO'
1,13,5,"2016-11-04-14:36:52 "
1,13,6,eventDate
1,13,7,'NO'
1,14,5,"2016-11-04-14:36:52 "
1,14,6,eventDate
1,14,7,'NO'
1,15,5,"2016-11-04-14:36:52 "
1,15,6,eventDate
1,15,7,'NO'
1,16,5,"2016-11-04-14:36:52 "
1,16,6,eventDate
1,16,7,'NO'
1,17,5,"2016-11-04-14:36:52 "
1,17,6,eventDate
1,17,7,'NO'
1,18,5,"2016-11-04-14:36:52 "
1,18,6,eventDate
1,18,7,'YES'
1,19,5,"2016-11-04-14:36:52 "
1,19,6,eventDate
1,19,7,'YES'
1,20,5,"2016-11-04-14:36:52 "
1,20,6,eventDate
1,20,7,'YES'
1,21,5,"2016-11-04-14:36:52 "
1,21,6,eventDate
1,21,7,'YES'
1,22,8,2016-11-04-14:36:52
1,22,9," ACCEPTED"
1,22,10,'14727511'
1,23,8,2016-11-04-14:36:52
1,23,9," ACCEPTED"
1,23,10,'14388799'
1,24,8,2016-11-04-14:36:52
1,24,9," ACCEPTED"
1,24,10,'23851999'
1,25,8,2016-11-04-14:36:52
1,25,9," ACCEPTED"
1,25,10,'61671061'
1,26,8,2016-11-04-14:36:52
1,26,9," ACCEPTED"
1,26,10,'10376353'
1,27,8,2016-11-04-14:36:52
1,27,9," ACCEPTED"
1,27,10,'45893459'
1,28,8,2016-11-04-14:36:52
1,28,9," UNABLE-to-validate"
1,28,10,'14995906'
1,29,8,2016-11-04-14:36:52
1,29,9," UNABLE-to-validate"
1,29,10,'25833465'
1,30,8,2016-11-04-14:36:52
1,30,9," UNABLE-to-validate"
1,30,10,'24610226'
1,31,8,2016-11-04-14:36:52
1,31,9," UNABLE-to-validate"
1,31,10,'55410692'
1,32,11,"2016-11-04-14:36:52 "
1,32,12,self_check
1,32,13,ISO_date_format-(YYYY-MM-DD)
1,32,14,EXACT
1,32,15,eventDate
1,32,16,'5/27/50'
1,33,11,"2016-11-04-14:36:52 "
1,33,12,self_check
1,33,13,ISO_date_format-(YYYY-MM-DD)
1,33,14,EXACT
1,33,15,eventDate
1,33,16,'1880-01-01/1880-12-31'
1,34,11,"2016-11-04-14:36:52 "
1,34,12,self_check
1,34,13,ISO_date_format-(YYYY-MM-DD)
1,34,14,EXACT
1,34,15,eventDate
1,34,16,'1963-09-01/1963-09-30'
1,35,11,"2016-11-04-14:36:52 "
1,35,12,self_check
1,35,13,ISO_date_format-(YYYY-MM-DD)
1,35,14,EXACT
1,35,15,eventDate
1,35,16,'1931-09-01/1931-09-30'
1,36,11,"2016-11-04-14:36:52 "
1,36,12,self_check
1,36,13,ISO_date_format-(YYYY-MM-DD)
1,36,14,EXACT
1,36,15,eventDate
1,36,16,'1880-01-01/1880-12-31'
1,37,11,"2016-11-04-14:36:52 "
1,37,12,self_check
1,37,13,ISO_date_format-(YYYY-MM-DD)
1,37,14,EXACT
1,37,15,eventDate
1,37,16,'1904-06-01/1904-06-30'
1,38,21,"2016-11-04-14:36:52 "
1,38,22,'14727511'
1,38,23,eventDate
1,38,24,'5/27/50'
1,38,25,'1950-05-27'
1,39,26,2016-11-04-14:36:52
1,39,27," ACCEPTED"
1,39,28,'14727511'
1,40,26,2016-11-04-14:36:52
1,40,27," ACCEPTED"
1,40,28,'14388799'
1,41,26,2016-11-04-14:36:52
1,41,27," ACCEPTED"
1,41,28,'23851999'
1,42,26,2016-11-04-14:36:52
1,42,27," ACCEPTED"
1,42,28,'61671061'
1,43,26,2016-11-04-14:36:52
1,43,27," ACCEPTED"
1,43,28,'10376353'
1,44,26,2016-11-04-14:36:52
1,44,27," ACCEPTED"
1,44,28,'45893459'
1,45,26,2016-11-04-14:36:52
1,45,27," UNABLE-to-validate"
1,45,28,'14995906'
1,46,26,2016-11-04-14:36:52
1,46,27," UNABLE-to-validate"
1,46,28,'25833465'
1,47,26,2016-11-04-14:36:52
1,47,27," UNABLE-to-validate"
1,47,28,'24610226'
1,48,26,2016-11-04-14:36:52
1,48,27," UNABLE-to-validate"
1,48,28,'55410692'
1,49,29,"2016-11-04-14:36:52 "
1,49,30,6
1,49,31,../Run_5/demo_output_name_date_val.csv
1,50,32,"2016-11-04-14:36:52 "
1,50,33,4
1,50,34,../Run_5/demo_output_name_date_val.csv
