qualifying_annotation_id,primary_annotation_id
2,1
4,3
5,3
7,6
9,8
10,8
12,11
13,11
15,14
17,16
19,18
22,21
24,23
26,25
28,27
30,29
31,29
34,33
36,35
38,37
39,37
41,40
43,42
44,42
46,45
47,45
49,48
51,50
52,50
53,50
56,55
58,57
59,57
61,60
63,62
66,65
68,67
69,67
70,67
73,72
75,74
77,76
79,78
81,80
82,80
83,80
86,85
89,88
91,90
93,92
94,92
95,92
98,97
100,99
102,101
104,103
106,105
107,105
108,105
109,105
112,111
114,113
116,115
118,117
119,117
120,117
123,122
126,125
128,127
130,129
132,131
133,131
134,131
137,136
139,138
141,140
143,142
145,144
146,144
149,148
151,150
153,152
155,154
156,154
157,154
158,154
